,NINO3.4,PDO,NPI,NPGO,AO
1985.2,-0.77,0.560723003,2.455609009,0.145772452,-0.109829
1985.3,-0.78,0.250676166,1.349071698,0.212054877,0.357291811
1985.3,-0.78,0.122039712,0.497840496,0.129229865,-0.058853515
1985.4,-0.63,0.412296326,0.127362626,0.086961873,-0.541730386
1985.5,-0.49,0.679464345,0.377367971,-0.029685803,-0.341999166
1985.6,-0.46,0.76522198,0.618364692,-0.297081162,-0.128365541
1985.7,-0.4,0.507949073,1.136246526,-0.705450312,0.531998702
1985.8,-0.35,-0.006596741,1.084968997,-1.173727032,-0.031975532
1985.8,-0.27,-0.026386965,-0.206776067,-1.396995681,-0.987534177
1985.9,-0.36,0.247377795,-1.576628537,-1.272629866,-1.730386023
1986.0,-0.49,1.025793258,-3.113227853,-1.169236429,-2.511701191
1986.1,-0.47,1.619499967,-2.787044758,-0.8049953,-0.714120209
1986.2,-0.31,1.761329903,-1.452166631,-0.864434419,-0.403169748
1986.3,-0.2,1.612903226,-0.150821395,-0.579276957,1.112655823
1986.3,-0.12,1.187413418,0.277257501,-0.639146335,0.465730571
1986.4,-0.04,1.131341117,-0.155582282,-0.631542148,0.414291672
1986.5,0.22,0.821294281,-0.369193215,-0.787456163,-0.138560638
1986.6,0.44,0.60030345,0.026282874,-0.81815144,-0.397145373
1986.7,0.71,0.474965367,-0.323556767,-0.623915002,0.266926178
1986.8,0.94,0.986212811,0.077200485,-0.468851107,1.078826637
1986.8,1.14,1.497460255,-1.279757323,-0.375271396,1.117289958
1986.9,1.22,1.787716868,-1.494488989,-0.081228544,-0.075072988
1987.0,1.23,1.781120127,-2.046839142,0.299313823,-1.186801983
1987.1,1.19,1.889966357,-1.40385753,0.521735487,-2.023726771
1987.2,1.06,1.982320734,-1.383212173,0.457003347,-1.312387043
1987.3,0.95,2.01530444,-0.805443304,0.309076099,-0.479169563
1987.3,0.97,1.563427667,-0.481776067,0.341765137,0.000926827
1987.4,1.22,1.513952108,-0.240394484,0.328397943,-0.394364892
1987.5,1.51,1.837192427,-0.358502601,0.34794117,-0.93238797
1987.6,1.7,2.4012138,0.097731808,0.280705399,-0.470364706
1987.7,1.65,2.186819711,0.34264664,0.189242838,-0.291487094
1987.8,1.48,1.738241309,0.074349654,0.243833735,-0.152463043
1987.8,1.25,1.352331948,0.180758677,0.400421399,-0.532925529
1987.9,1.11,1.210502012,0.026250802,0.695526639,-0.373047871
1988.0,0.81,1.134639488,-0.425429406,0.778104901,-0.618657028
1988.1,0.54,1.184115047,-0.672797734,0.860831231,-0.462486677
1988.2,0.14,1.187413418,-0.806988098,1.001288402,-0.845266231
1988.3,-0.31,1.174219935,-0.462452783,1.295681087,-0.74331526
1988.3,-0.88,0.949930734,-0.73460908,1.527983144,-0.623754576
1988.4,-1.3,0.850979616,-0.388459483,1.57338429,-0.430047732
